State,MSPB
NJ,1.06265625
LA,1.043950617
TX,1.039673913
NV,1.032272727
FL,1.026219512
DE,1.008333333
TN,1.008170732
CT,1.005714286
IL,1.005564516
OH,1.004416667
DC,0.996666667
IN,0.995925926
NH,0.995384615
CA,0.994685315
AR,0.993409091
AL,0.992716049
MS,0.992105263
MA,0.989454545
PA,0.989166667
NY,0.985642857
RI,0.984
UT,0.979666667
KY,0.9778125
CO,0.976956522
SC,0.974038462
NE,0.967391304
GA,0.965918367
OK,0.960810811
VA,0.956666667
ID,0.956428571
ME,0.954705882
AZ,0.95362069
WV,0.953214286
MO,0.951764706
MI,0.951413043
KS,0.948979592
VT,0.948333333
NC,0.947108434
WI,0.93968254
WY,0.931111111
IA,0.925882353
SD,0.925625
WA,0.925416667
NM,0.92
HI,0.914166667
ND,0.905714286
MN,0.905319149
OR,0.892352941
MT,0.883846154
AK,0.8575
MD,1
