,State,CaseMix
0,AK,1.6354125
1,AL,1.3831543209876542
2,AR,1.5358866666666664
3,AZ,1.7765644067796613
4,CA,1.71417337883959
5,CO,1.8584749999999994
6,CT,1.52031
7,DC,1.933533333333333
8,DE,1.63885
9,FL,1.5897533333333327
10,GA,1.536675757575758
11,HI,1.7136249999999997
12,IA,1.5751735294117648
13,ID,1.9299923076923073
14,IL,1.5703580645161295
15,IN,1.664132926829268
16,KS,1.7329320000000004
17,KY,1.4807703124999998
18,LA,1.6605867469879518
19,MA,1.5175090909090911
20,MD,1.5396829787234039
21,ME,1.5112
22,MI,1.6029709677419355
23,MN,1.612530612244898
24,MO,1.58799
25,MS,1.3638483333333333
26,MT,1.6479214285714285
27,NC,1.5753440476190477
28,ND,1.6719625000000002
29,NE,1.9926
30,NH,1.613415384615385
31,NJ,1.6603078125000006
32,NM,1.4450833333333333
33,NV,1.7163909090909089
34,NY,1.5389655172413792
35,OH,1.6271902439024386
36,OK,1.659715584415584
37,OR,1.7090058823529413
38,PA,1.5942198630136981
39,PR,1.473392
40,RI,1.54186
41,SC,1.5754754716981134
42,SD,1.7248722222222217
43,TN,1.5443385542168673
44,TX,1.6919793814432997
45,UT,1.7787064516129032
46,VA,1.5592684931506855
47,VT,1.47105
48,WA,1.7769255319148938
49,WI,1.6831793650793647
50,WV,1.5378285714285718
51,WY,1.5201333333333333
